"index_name","index_date","open_index_value","high_index_value","low_index_value","closing_index_value","points_change","change_percent","volume","turnover_rs_cr","pe_ratio","pb_ratio","div_yield"
"Nifty Midcap 150","04-04-2024","18503.40","18523.65","18330.80","18385.95","7.35","0.04","1835874811","22049.63","34.80","4.75","0.74"
"Nifty Midcap Select","04-04-2024","10890.85","10909.40","10808.50","10818.75","4.15","0.04","1043443876","6226.08","34.88","5.31","0.85"
"NIFTY LargeMidcap 250","04-04-2024","14327.05","14337.80","14185.60","14251.20","23.90","0.17","2660870708","79098.56","28.11","4.38","0.95"
"NIFTY SME EMERGE","04-04-2024","NaN","NaN","NaN","11733.98","28.18","0.24","NaN","NaN","74.92","7.54","0.14"
"Nifty Oil & Gas","04-04-2024","11724.95","11728.40","11429.75","11494.80","-159.70","-1.37","102567982","5281.05","9.42","2.07","2.33"
"Nifty Financial Services 25/50","04-04-2024","23207.15","23237.35","22989.15","23099.55","76.95","0.33","159333122","18409.17","17.77","3.29","0.89"
"Nifty Healthcare Index","04-04-2024","12183.10","12184.25","12017.55","12136.15","-0.45","0.00","20353803","2893.31","41.79","5.79","0.57"
"Nifty500 Multicap 50:25:25","04-04-2024","14317.35","14325.70","14184.55","14257.30","45.00","0.32","3312184626","98495.58","26.81","4.17","0.97"
"Nifty Microcap 250","04-04-2024","20420.95","20475.10","20205.75","20358.95","106.95","0.53","583223958","6317.99","30.46","3.07","0.58"
"Nifty Total Market","04-04-2024","11663.80","11673.15","11541.65","11613.35","34.05","0.29","3895408584","104813.57","25.38","4.10","1.05"
"Nifty India Digital","04-04-2024","7870.10","7890.75","7804.00","7879.50","66.60","0.85","1026548541","10420.09","127.70","9.91","1.05"
"Nifty Mobility","04-04-2024","NaN","NaN","NaN","18585.42","32.51","0.18","176699055","11332.22","26.71","5.89","0.91"
"Nifty India Defence","04-04-2024","NaN","NaN","NaN","4985.56","-31.43","-0.63","33197722","2758.73","51.28","11.91","0.58"
"Nifty Financial Services Ex-Bank","04-04-2024","NaN","NaN","NaN","23500.43","-12.03","-0.05","141372767","7490.77","23.75","3.36","0.83"
"Nifty Housing","04-04-2024","NaN","NaN","NaN","10868.99","39.17","0.36","807925318","29524.82","27.04","3.54","0.80"
"Nifty Transportation & Logistics","04-04-2024","NaN","NaN","NaN","20821.72","88.76","0.43","131814324","7847.42","31.42","6.51","0.71"
"Nifty MidSmall Financial Services","04-04-2024","NaN","NaN","NaN","13668.56","85.96","0.63","517968958","7499.86","21.43","2.64","0.70"
"Nifty MidSmall Healthcare","04-04-2024","NaN","NaN","NaN","33259.37","-4.36","-0.01","27128184","1932.04","48.01","5.48","0.48"
"Nifty MidSmall IT & Telecom","04-04-2024","NaN","NaN","NaN","10266.45","105.14","1.03","962186577","4020.97","123.00","17.89","0.88"
"Nifty MidSmall India Consumption","04-04-2024","NaN","NaN","NaN","15979.34","14.27","0.09","28140802","2423.78","63.46","7.61","0.41"
"Nifty REITs & InvITs","04-04-2024","NaN","NaN","NaN","1087.89","7.98","0.74","6836211","95.47","32.94","1.67","6.96"
"Nifty Core Housing","04-04-2024","NaN","NaN","NaN","14828.59","-7.00","-0.05","38374525","4158.13","36.02","4.14","0.61"
"Nifty500 Multicap Infrastructure 50:30:20","04-04-2024","NaN","NaN","NaN","12880.07","-28.35","-0.22","1235323529","17583.48","24.72","3.78","1.03"
"Nifty Consumer Durables","04-04-2024","33356.15","33369.05","32943.90","33274.10","129.05","0.39","9544775","1264.93","73.42","10.74","0.38"
"Nifty Non-Cyclical Consumer","04-04-2024","NaN","NaN","NaN","14102.55","53.72","0.38","128847266","8961.03","61.02","11.77","0.93"
"Nifty500 Multicap India Manufacturing 50:30:20","04-04-2024","NaN","NaN","NaN","12964.99","13.14","0.10","314185902","17731.39","29.70","3.99","0.84"
"Nifty100 ESG Sector Leaders","04-04-2024","3741.20","3744.10","3696.75","3729.00","13.65","0.37","463136677","43371.90","27.36","4.38","0.94"
"NIFTY100 Alpha 30","04-04-2024","NaN","NaN","NaN","17996.97","59.63","0.33","350062677","14594.37","18.69","4.33","1.22"
"NIFTY500 Value 50","04-04-2024","NaN","NaN","NaN","13240.96","-40.89","-0.31","843359230","19267.43","10.55","1.70","3.39"
"Nifty100 Low Volatility 30","04-04-2024","18206.90","18216.45","17989.10","18106.40","-5.55","-0.03","202934740","24669.13","32.76","6.40","1.27"
"NIFTY Alpha Low-Volatility 30","04-04-2024","26481.30","26491.20","26109.05","26243.30","-105.85","-0.40","168240133","14170.19","24.13","4.71","1.34"
"NIFTY Quality Low-Volatility 30","04-04-2024","NaN","NaN","NaN","16230.10","-25.20","-0.16","149241587","19927.21","31.01","7.96","1.54"
"NIFTY Alpha Quality Low-Volatility 30","04-04-2024","NaN","NaN","NaN","21107.93","-82.83","-0.39","98535914","10503.95","28.87","7.68","1.60"
